seasonId,teamId,abbrev
2015,1,ANGS
2016,1,ANGS
2017,1,ANGS
2018,1,ANGS
2019,1,ANGS
2020,1,ANGS
2021,1,ANGS
2022,1,ANGS
2015,2,ROWN
2016,2,ROWN
2017,2,ROWN
2018,2,ROWN
2015,3,PEPE
2016,3,PEPE
2017,3,PEPE
2018,3,PEPE
2019,3,PEPE
2020,3,PEPE
2021,3,PEPE
2022,3,PEPE
2015,4,BILL
2016,4,BILL
2017,4,BILL
2018,4,BILL
2019,4,BILL
2020,4,BILL
2021,4,BILL
2022,4,BILL
2015,5,CART
2016,5,CART
2017,5,CART
2018,5,CART
2019,5,CART
2020,5,CART
2021,5,CART
2022,5,CART
2015,6,KIER
2016,6,KIER
2017,6,KIER
2018,6,KIER
2019,6,KIER
2020,6,KIER
2021,6,KIER
2022,6,KIER
2015,7,JUST
2015,8,CHAR
2016,8,CHAR
2017,8,CHAR
2018,8,CHAR
2019,8,CORE
2020,8,CORE
2021,8,CORE
2022,8,CORE
2016,9,JUST
2017,9,COLN
2018,9,COLN
2016,10,NICK
2017,10,NICK
2018,10,NICK
2019,10,NICK
2020,10,NICK
2021,10,NICK
2022,10,NICK
2016,11,KYLE
2017,11,KYLE
2018,11,KYLE
2019,11,KYLE
2020,11,KYLE
2021,11,KYLE
2022,11,KYLE
2021,12,COLN
2022,12,COLN
2021,13,CHAR
2022,13,CHAR
